# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 113  of event 'LLC-store-misses'
# Event count (approx.): 14608
#
# Overhead  Command          Shared Object               Symbol                       
# ........  ...............  ..........................  .............................
#
     6.22%  kworker/4:1      [kernel.kallsyms]           [k] refresh_cpu_vm_stats     
     5.85%  swapper          [kernel.kallsyms]           [k] __switch_to              
     5.55%  swapper          [kernel.kallsyms]           [k] account_process_tick     
     5.13%  Xorg             [kernel.kallsyms]           [k] _raw_spin_lock_irqsave   
     4.17%  accounts-daemon  libglib-2.0.so.0.4002.0     [.] 0x000000000006428e       
     2.40%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock_irqsave   
     2.40%  swapper          [kernel.kallsyms]           [k] tick_do_update_jiffies64 
     2.25%  swapper          [kernel.kallsyms]           [k] native_write_msr_safe    
     2.05%  Xorg             Xorg                        [.] 0x000000000019e4cc       
     1.83%  gnome-terminal   libgtk-3.so.0.1000.8        [.] 0x0000000000230aa0       
     1.81%  kworker/u16:1    [kernel.kallsyms]           [k] elv_set_request          
     1.73%  gnome-terminal   libc-2.19.so                [.] 0x000000000007fceb       
     1.73%  gnome-terminal   libcairo.so.2.11301.0       [.] 0x000000000002c7ce       
     1.66%  swapper          [kernel.kallsyms]           [k] load_balance             
     1.64%  compiz           libdrm_intel.so.1.0.0       [.] 0x0000000000005c06       
     1.61%  compiz           libcompiz_core.so.0.9.11.3  [.] 0x0000000000058bfe       
     1.56%  Xorg             [kernel.kallsyms]           [k] __radix_tree_lookup      
     1.55%  sleep            [kernel.kallsyms]           [k] __vma_link_list          
     1.49%  gnome-terminal   [kernel.kallsyms]           [k] unix_stream_sendmsg      
     1.47%  gnome-terminal   libXrender.so.1.3.0         [.] 0x0000000000002379       
     1.47%  gnome-terminal   libcairo.so.2.11301.0       [.] 0x0000000000021050       
     1.38%  Xorg             intel_drv.so                [.] 0x0000000000020318       
     1.36%  compiz           [kernel.kallsyms]           [k] cpuacct_charge           
     1.36%  gnome-terminal   [kernel.kallsyms]           [k] do_sys_poll              
     1.36%  gnome-terminal   libcairo.so.2.11301.0       [.] 0x0000000000018670       
     1.33%  compiz           libdrm_intel.so.1.0.0       [.] 0x0000000000005fe2       
     1.32%  compiz           [vdso]                      [.] 0x0000000000000a79       
     1.32%  compiz           libdrm_intel.so.1.0.0       [.] 0x000000000000813f       
     1.32%  compiz           libfade.so                  [.] 0x000000000000a142       
     1.26%  sleep            ld-2.19.so                  [.] 0x00000000000103d2       
     1.23%  compiz           i965_dri.so                 [.] 0x00000000003a1c41       
     1.21%  compiz           libdrm_intel.so.1.0.0       [.] 0x0000000000005efe       
     1.19%  compiz           libdrm_intel.so.1.0.0       [.] 0x0000000000005cc5       
     1.18%  compiz           libc-2.19.so                [.] 0x00000000000fb480       
     1.18%  compiz           libpthread-2.19.so          [.] 0x000000000000a495       
